DATABASE PRESTAZIONI AUTO AUTOMOBILISTICHE;;;;;;;;;
Inclusi brand High-Tech e Hypercar cinesi: Xiaomi, BYD, Yangwang | Totale modelli: 312;;;;;;;;;
;;;;;;;;;
Marca;Modello;Versione;Categoria;Potenza (CV);0-100 km/h (s);Vel. Max (km/h);Ripresa 80-120 (s);1/4 Miglio (s);Nürburgring (s)
Renault;Rafale;1.2 E-Tech Full Hybrid 200 CV;SUV Coupe;200;8,9;180;5,9;14,3;-
Renault;Renault 5 E-Tech;Elettrica 150 CV;Citycar Elettrica;150;8;150;5,2;13,4;-
Renault;Renault 5 E-Tech;Elettrica 120 CV;Citycar Elettrica;120;9;150;6;14,4;-
Renault;Symbioz;1.6 E-Tech Full Hybrid 145 CV;SUV;145;10,6;170;7,3;16;-
Rimac;Nevera;Quad Motor 1914 CV;Hypercar Elettrica;1.914;1,81;412;0,5;7,2;-
Tesla;Model 3;Performance 460 CV;Berlina Elettrica;460;3,1;262;1,7;8,5;-
Tesla;Model 3;RWD Elettrica 283 CV;Berlina Elettrica;283;6,1;201;3,2;11,5;-
Tesla;Model S;Plaid 1020 CV;Berlina Elettrica;1.020;2,1;322;0,9;7,5;-
Tesla;Model Y;Performance 534 CV;SUV Elettrico;534;3,7;250;1,9;9,1;-
Tesla;Model Y;RWD Elettrica 299 CV;SUV Elettrico;299;6,9;217;3,8;12,3;-
Toyota;Aygo X;1.0 VVT-i 72 CV;Citycar;72;14,9;158;11,8;20,3;-
Toyota;C-HR;2.0 Hybrid 197 CV;SUV;197;8,1;180;5,4;13,5;-
Toyota;C-HR;1.8 Full Hybrid 140 CV;SUV;140;9,9;170;6,9;15,3;-
Toyota;C-HR;1.8 Full Hybrid 122 CV;SUV;122;11;170;8,1;16,4;-
Toyota;Corolla;2.0 Hybrid 196 CV;Berlina;196;7,4;180;5;12,8;-
Toyota;Corolla;1.8 Hybrid 140 CV;Berlina;140;9,1;180;6,3;14,5;-
Toyota;GR Supra;3.0 Turbo 340 CV;Coupe Sportiva;340;4,3;250;2,7;9,7;-
Toyota;GR Yaris;1.6 Turbo 280 CV 4WD;Hot Hatch;280;5,2;230;3,4;10,6;-
Toyota;RAV4;2.5 Hybrid 218 CV;SUV;218;8,4;180;5,6;13,8;-
Toyota;Yaris;1.5 Hybrid 130 CV;Citycar;130;9,2;175;6,2;14,6;-
Toyota;Yaris;1.5 Hybrid 116 CV;Citycar;116;9,7;175;6,8;15,1;-
Toyota;Yaris Cross;1.5 Hybrid 130 CV;SUV;130;10,7;170;7,6;16,1;-
Toyota;Yaris Cross;1.5 Hybrid 116 CV;SUV;116;11,2;170;8,2;16,6;-
Volkswagen;Golf;1.5 eTSI Mild Hybrid 150 CV;Berlina;150;8,4;224;5,8;13,8;-
Volkswagen;Golf;2.0 TDI 150 CV;Berlina;150;8;223;5,5;13,4;-
Volkswagen;Golf;1.5 eTSI Mild Hybrid 116 CV;Berlina;116;9,9;203;7,1;15,3;-
Volkswagen;Golf;2.0 TDI 116 CV;Berlina;116;10,2;202;7,4;15,6;-
Volkswagen;Golf GTI;2.0 TSI 265 CV;Hot Hatch;265;5,9;250;3,8;11,3;-
Volkswagen;Golf R;2.0 TSI 333 CV 4Motion;Hot Hatch;333;4,6;270;2,8;10;-
Volkswagen;ID.3;Pro 58 kWh 204 CV;Berlina Elettrica;204;7,3;160;4,5;12,7;-
Volkswagen;ID.4;Pro 77 kWh 286 CV;SUV Elettrico;286;6,7;180;4,1;12,1;-
Volkswagen;Passat Variant;2.0 TDI 150 CV;Station Wagon;150;9,3;223;6,4;14,7;-
Volkswagen;Polo;1.0 TSI 95 CV;Citycar;95;10,8;187;8;16,2;-
Volkswagen;Polo;1.0 MPI 80 CV;Citycar;80;15,5;171;11,9;20,9;-
Volkswagen;Polo GTI;2.0 TSI 207 CV;Hot Hatch;207;6,5;240;4,3;11,9;-
Volkswagen;T-Cross;1.0 TSI 95 CV;SUV;95;11,2;180;8,4;16,6;-
Volkswagen;T-Roc;1.5 TSI 150 CV;SUV;150;8,6;205;6;14;-
Volkswagen;T-Roc;1.0 TSI 110 CV;SUV;110;10,8;185;8;16,2;-
Volkswagen;Tiguan;2.0 TSI R 320 CV 4Motion;SUV Sportivo;320;4,9;250;3,4;10,3;-
Volkswagen;Tiguan;1.5 eHybrid Plug-in 272 CV;SUV;272;7,2;215;4,8;12,6;-
Volkswagen;Tiguan;2.0 TDI 150 CV;SUV;150;9,3;207;6,5;14,7;-
Volkswagen;Tiguan;1.5 eTSI Mild Hybrid 130 CV;SUV;130;10,6;198;7,8;16;-
Xiaomi;SU7;RWD Standard 299 CV;Berlina;299;5,3;210;3,6;10,8;-
Xiaomi;SU7 Max;AWD Dual Motor 673 CV;Berlina Sportiva;673;2,78;265;1,6;4,8;-
Xiaomi;SU7 Pro;RWD Long Range 299 CV;Berlina;299;5,7;210;3,8;11,2;-
Xiaomi;SU7 Ultra;Triple Motor 1548 CV;Hyper Berlina;1.548;1,98;350;0,9;2,6;406,87
Yangwang;U7;e4 Quad-Motor EV 1306 CV;Hyper Berlina;1.306;2,9;270;1,4;4,2;-
Yangwang;U8;e4 Quad-Motor EREV 1196 CV;SUV Offroad Supercar;1.196;3,6;200;2,1;6,3;-
Yangwang;U9;e4 Quad-Motor EV 1306 CV;Hypercar;1.306;2,36;309;1,1;3,2;-
